"","canton_code","canton","district_code","district","commune_code","commune","type"
"145",1,"ZH",110,"Winterthur",227,"Seuzach","Type 2"
"146",1,"ZH",110,"Winterthur",228,"Turbenthal","Type 3"
"147",1,"ZH",110,"Winterthur",230,"Winterthur","Type 4"
"148",1,"ZH",110,"Winterthur",231,"Zell (ZH)","Type 3"
"149",1,"ZH",110,"Winterthur",294,"Elgg","Type 1"
"150",1,"ZH",110,"Winterthur",298,"Wiesendangen","Type 1"
"151",1,"ZH",111,"Dietikon",241,"Aesch (ZH)","Type 1"
"152",1,"ZH",111,"Dietikon",242,"Birmensdorf (ZH)","Type 4"
"153",1,"ZH",111,"Dietikon",243,"Dietikon","Type 4"
"154",1,"ZH",111,"Dietikon",244,"Geroldswil","Type 4"
"155",1,"ZH",111,"Dietikon",245,"Oberengstringen","Type 4"
"156",1,"ZH",111,"Dietikon",246,"Oetwil an der Limmat","Type 1"
"157",1,"ZH",111,"Dietikon",247,"Schlieren","Type 4"
"158",1,"ZH",111,"Dietikon",248,"Uitikon","Type 5"
"159",1,"ZH",111,"Dietikon",249,"Unterengstringen","Type 3"
"160",1,"ZH",111,"Dietikon",250,"Urdorf","Type 4"
"161",1,"ZH",111,"Dietikon",251,"Weiningen (ZH)","Type 4"
"162",1,"ZH",112,"Zürich",261,"Zürich","Type 6"
